12:52:25 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon
12:53:04 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon
12:59:00 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon
13:01:00 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon
13:02:58 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon
13:07:46 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:08:32 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:09:06 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:09:47 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:11:34 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:13:51 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:23:48 -- Temperature has exceeded 10 degrees at 21.84 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:24:29 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:25:23 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:27:27 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:29:14 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:31:41 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:32:42 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:33:50 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
13:34:20 -- Temperature has exceeded 10 degrees at 21.29 degrees in Sidon, Lebanon ,Sending Notification to: mohamad_email@someProvider.com
